Entry Date,Exit Date,Profit %
2005-06-23,2005-06-28,0.2419217747501
2005-06-29,2005-07-05,0.5507697761104475
2005-07-06,2005-07-08,1.5400171811491001
2005-07-21,2005-07-27,0.8719083744468435
2005-08-04,2005-08-15,0.08083374721773567
2005-08-16,2005-08-29,-0.42551801061188266
2005-09-13,2005-09-16,0.2957350058344623
2005-09-20,2005-09-29,0.49979784634156027
2005-10-04,2005-10-14,-2.103635429708644
2005-10-18,2005-10-19,1.663567721068533
2005-10-20,2005-10-24,1.9461149030031561
2005-10-27,2005-10-28,1.4394989621401253
2005-11-28,2005-12-01,0.3644360024551111
2005-12-16,2005-12-23,0.31656693653487145
2005-12-27,2006-01-03,0.9803115958930673
2006-01-20,2006-01-26,1.103372899195204
2006-01-31,2006-02-14,0.1960411764670498
2006-02-28,2006-03-08,0.007801106475448133
2006-03-09,2006-03-14,2.1981724402056275
2006-03-21,2006-04-05,1.0957397731936989
2006-04-07,2006-04-18,0.8955065196904947
2006-04-26,2006-05-04,0.7361629559466355
2006-05-11,2006-05-25,-2.458913449790124
2006-05-30,2006-06-01,2.085656135629528
2006-06-05,2006-06-15,-0.7866901058583928
2006-06-16,2006-06-21,0.28884865334709847
2006-06-27,2006-06-29,2.7116514043510795
2006-07-12,2006-07-19,-0.28560594809253687
2006-07-20,2006-07-24,1.105525871154108
2006-08-09,2006-08-15,1.2994214972277063
2006-09-06,2006-09-12,0.9041789136699283
2006-10-02,2006-10-04,1.3826157279814186
2006-10-27,2006-11-06,0.12325976182957209
2006-11-27,2006-11-29,1.4810140837321417
2006-12-07,2006-12-13,0.5029917340792533
2006-12-21,2006-12-27,0.6284131337798038
2006-12-29,2007-01-11,0.3812956394837423
2007-01-25,2007-01-31,1.0474076943139397
2007-02-09,2007-02-13,0.5001699519560618
2007-02-27,2007-03-06,0.14336588646094242
2007-03-07,2007-03-08,0.8455114219081877
2007-03-13,2007-03-15,0.8824149169377411
2007-03-16,2007-03-19,1.2054907216871225
2007-04-30,2007-05-02,0.8429772585022836
2007-05-10,2007-05-18,2.032354341849866
2007-05-24,2007-05-29,0.7811789006720554
2007-06-06,2007-06-11,-0.3556238660493317
2007-06-12,2007-06-13,1.49683500210007
2007-06-20,2007-07-02,0.43005609393551164
2007-07-10,2007-07-12,2.299235979826146
2007-07-24,2007-08-02,-2.445488011999107
2007-08-03,2007-08-07,2.760783739954903
2007-08-09,2007-08-17,-0.4676630474864129
2007-08-28,2007-08-29,1.962147922938816
2007-09-24,2007-09-26,0.3296101422899368
2007-10-16,2007-10-23,-1.3135317510380047
2007-10-30,2007-10-31,1.0387692531405237
2007-11-01,2007-11-06,0.6886429146908919
2007-11-07,2007-11-13,0.11495373492668075
2007-11-19,2007-11-23,0.25735191739033736
2007-11-26,2007-11-28,4.384493390397798
2007-12-04,2007-12-05,1.6739613413920833
2007-12-11,2007-12-21,0.6802242961883633
2007-12-28,2008-01-10,-4.080158815185024
2008-01-15,2008-01-23,-3.1193426567000717
2008-01-25,2008-01-29,2.1572373033283236
2008-01-30,2008-02-01,3.4616178101534847
2008-02-05,2008-02-12,0.6411899558220664
2008-02-14,2008-02-19,0.25895374497533774
2008-03-06,2008-03-11,1.1750452014857133
2008-03-12,2008-03-18,1.7280790184830888
2008-03-19,2008-03-24,3.8880927756506063
2008-03-27,2008-04-01,2.8845048668375863
2008-04-11,2008-04-16,2.601621710945473
2008-04-30,2008-05-01,2.0685750828023
2008-05-07,2008-05-12,0.6737330083596621
2008-05-21,2008-05-28,-0.13623436168173483
2008-06-06,2008-06-13,-0.10270081471969433
2008-06-17,2008-07-16,-8.106483547861721
2008-07-24,2008-07-29,0.6135123199093402
2008-08-04,2008-08-05,2.6961517279211376
2008-08-18,2008-08-22,0.9814135757174491
2008-08-25,2008-08-27,1.2675378859174735
2008-09-02,2008-09-08,-0.7813021555510032
2008-09-09,2008-09-11,1.8584721560191804
2008-09-15,2008-09-19,3.954032245844124
2008-09-22,2008-09-25,-0.42869942687787865
2008-09-29,2008-10-13,-9.005215063365245
2008-10-15,2008-10-20,9.764507803381942
2008-10-21,2008-10-28,-2.1907362150189122
2008-11-06,2008-11-13,0.3411743231188176
2008-11-14,2008-11-24,-1.83559591908663
2008-12-01,2008-12-03,6.345166415460297
2008-12-23,2008-12-26,1.160640598143157
2009-01-07,2009-01-28,-3.617502716263923
2009-01-29,2009-02-03,-0.9580373364042903
2009-02-04,2009-02-06,4.380155954720586
2009-02-10,2009-03-04,-13.692694292531616
2009-03-05,2009-03-10,4.898233077600483
2009-03-20,2009-03-23,7.182983025105882
2009-03-31,2009-04-02,4.917054847751171
2009-04-07,2009-04-09,5.094900721854688
2009-04-20,2009-04-24,3.8715228165689073
2009-05-07,2009-05-18,0.4072005528378419
2009-05-19,2009-05-26,0.19750651536601366
2009-05-27,2009-05-29,3.1894937333832356
2009-06-16,2009-06-24,-1.1032269715799954
2009-07-02,2009-07-13,0.3229147461074588
2009-08-11,2009-08-12,1.0729019029608422
2009-08-17,2009-08-18,0.7933936347853471
2009-09-01,2009-09-03,0.44908618629306885
2009-09-23,2009-09-28,0.13182267034930142
2009-09-29,2009-10-05,-1.8679474961397171
2009-10-21,2009-10-29,-1.4598743844262834
2009-10-30,2009-11-04,1.3133010129101614
2009-11-12,2009-11-16,1.999435178874277
2009-12-03,2009-12-10,0.23552453793804465
2009-12-17,2009-12-21,1.5877228390194256
2009-12-31,2010-01-04,1.6960095383179126
2010-01-15,2010-01-19,1.2495976966425102
2010-01-21,2010-02-02,-1.181707722214255
2010-02-04,2010-02-11,1.5877617647017042
2010-02-23,2010-03-01,1.8941539877310187
2010-03-19,2010-03-23,1.2417011071423656
2010-03-25,2010-04-01,0.9858486514381579
2010-04-16,2010-04-20,1.2734813393738904
2010-04-27,2010-04-29,2.0087964711074293
2010-04-30,2010-05-10,-2.230461030562366
2010-05-13,2010-05-27,-4.508995564214331
2010-05-28,2010-06-02,0.8777361900532289
2010-06-04,2010-06-10,2.1812812567259825
2010-06-22,2010-07-07,-3.1578528832839425
2010-07-16,2010-07-20,1.706413628150635
2010-07-21,2010-07-22,2.2321709793415114
2010-08-11,2010-08-17,0.2653282292944928
2010-08-19,2010-08-27,-0.9454803385234195
2010-08-30,2010-09-01,2.9911718274247017
2010-09-22,2010-09-24,1.2343829045026324
2010-09-30,2010-10-05,1.6734656697659576
2010-11-09,2010-11-18,-1.3567983309091316
2010-11-26,2010-12-01,1.8602903608733563
2011-01-19,2011-01-26,1.1072437673162228
2011-01-28,2011-02-01,2.364573760914348
2011-02-22,2011-02-25,0.3792803093880951
2011-03-01,2011-03-03,1.9400056272758865
2011-03-07,2011-03-21,-0.8569863218149475
2011-03-22,2011-03-24,1.2452355903900985
2011-04-11,2011-04-15,-0.3171096991913253
2011-05-06,2011-05-10,1.244437402369145
2011-05-13,2011-05-18,0.23873219441640164
2011-05-20,2011-05-26,-0.456565795885684
2011-06-01,2011-06-09,-1.8730768024867754
2011-06-10,2011-06-14,1.3479890025390566
2011-06-15,2011-06-21,2.4183082568400636
2011-06-24,2011-06-28,2.208007606030721
2011-07-11,2011-07-19,0.5758713447167072
2011-07-27,2011-08-11,-10.160821443899257
2011-08-18,2011-08-23,1.6854095502777235
2011-08-25,2011-08-29,4.368778562811206
2011-09-02,2011-09-07,2.070397642589717
2011-09-08,2011-09-13,-1.092039471020649
2011-09-21,2011-09-26,-0.33438679224393764
2011-09-27,2011-10-05,-2.654408022778387
2011-10-07,2011-10-10,3.344546278306468
2011-10-25,2011-10-27,4.534753883073284
2011-10-31,2011-11-02,-1.20318541644261
2011-11-09,2011-11-11,2.8418379312844144
2011-11-14,2011-11-28,-4.583172673156458
2011-12-08,2011-12-20,0.617972528054852
2011-12-28,2012-01-03,2.1389147217544378
2012-01-26,2012-02-01,0.44739649224525724
2012-02-15,2012-02-16,1.1073223857153065
2012-02-29,2012-03-07,-0.9706590865802717
2012-04-09,2012-04-12,0.41239354202316
2012-04-13,2012-04-17,1.4146142449767494
2012-04-20,2012-04-24,-0.4639211284458429
2012-05-03,2012-05-21,-5.227982100511077
2012-05-25,2012-05-29,1.2111825110339898
2012-05-30,2012-06-05,-2.0415703313174984
2012-06-11,2012-06-14,1.5676430238924288
2012-06-21,2012-06-27,0.5512290849297353
2012-07-10,2012-07-13,1.2002580240480645
2012-07-20,2012-07-26,-0.21986048442684775
2012-07-31,2012-08-03,1.1908741233242504
2012-08-21,2012-08-24,-0.1763226414064077
2012-08-27,2012-08-31,-0.26849680013076516
2012-09-21,2012-09-27,-0.8432297163256717
2012-10-01,2012-10-04,1.2331323950219435
2012-10-09,2012-10-15,-0.08321536715298837
2012-10-19,2012-11-01,-0.39054083924427746
2012-11-02,2012-11-06,0.9889873994875682
2012-11-07,2012-11-19,-0.4222547568190633
2012-12-13,2012-12-17,0.799250905463606
2012-12-26,2012-12-31,0.4656277945086276
2013-01-31,2013-02-01,1.028747765803348
2013-02-04,2013-02-08,1.5113096555679966
2013-02-20,2013-02-22,0.3633755641826926
2013-02-25,2013-02-27,1.9530377482260066
2013-02-28,2013-03-04,0.8640672787460869
2013-03-21,2013-03-28,1.496527228277839
2013-04-03,2013-04-08,0.6313717357855839
2013-04-15,2013-04-19,0.2320497813786313
2013-05-22,2013-05-28,0.2229802180372284
2013-05-31,2013-06-07,0.8259367641227269
2013-06-11,2013-06-18,1.6186629335741463
2013-06-19,2013-06-25,-2.472305278304428
2013-06-27,2013-07-05,1.2043862964000163
2013-08-06,2013-08-08,0.04124769923296526
2013-08-14,2013-08-22,-1.5882180380877864
2013-08-26,2013-09-04,-0.1506007413042569
2013-09-20,2013-10-01,-0.8083273876317083
2013-10-07,2013-10-10,1.0392503193356524
2013-10-15,2013-10-16,1.3966031077145318
2013-10-31,2013-11-04,0.5916101283518006
2013-11-07,2013-11-11,1.3662591942817586
2013-11-19,2013-11-22,0.9942340433321327
2013-12-05,2013-12-06,1.1176538296296132
2013-12-11,2013-12-16,0.27979672082297163
2014-01-02,2014-01-10,0.6669826384087209
2014-01-13,2014-01-15,1.6346726085517433
2014-01-17,2014-01-30,-2.401386767154695
2014-02-03,2014-02-06,1.9004347903049037
2014-02-19,2014-02-24,1.0327203323766674
2014-03-11,2014-03-17,-0.48067442221262
2014-03-21,2014-03-28,-0.38127731176555407
2014-04-04,2014-04-09,0.3702142957476543
2014-04-10,2014-04-15,0.5677896434369475
2014-04-25,2014-04-29,0.7836955590651158
2014-05-06,2014-05-12,1.6115308245958426
2014-05-20,2014-05-21,0.8424264437075045
2014-06-12,2014-06-17,0.6665367955731218
2014-06-24,2014-06-27,0.5752564490452106
2014-07-17,2014-07-22,1.2722875524454482
2014-07-29,2014-08-04,-1.5537118297268928
2014-08-07,2014-08-08,1.1568848622553585
2014-08-11,2014-08-13,0.5366025415076452
2014-09-09,2014-09-11,0.4916339412351148
2014-09-22,2014-09-24,0.20585196832780617
2014-09-25,2014-10-03,0.09167861044818965
2014-10-07,2014-10-08,1.7489358169074316
2014-10-09,2014-10-17,-2.215439250332718
2014-10-22,2014-10-23,1.1625050761923157
2014-12-10,2014-12-18,1.7818658686835034
2014-12-24,2014-12-26,0.3224825890001006
2014-12-30,2015-01-08,-0.8189100165089452
2015-01-09,2015-01-20,-1.072193098571878
2015-01-28,2015-02-03,2.3483143122085806
2015-03-06,2015-03-12,-0.19273526581295672
2015-03-24,2015-03-30,-0.2729368287636006
2015-03-31,2015-04-02,0.004884648498585561
2015-04-07,2015-04-09,0.78155841319704
2015-05-05,2015-05-08,1.3020453519463833
2015-05-13,2015-05-14,1.0427478611562346
2015-05-26,2015-06-10,0.11862572842454755
2015-06-12,2015-06-16,0.11426589688020941
2015-06-24,2015-07-01,-1.4251748684633687
2015-07-08,2015-07-10,1.4423226677013135
2015-07-23,2015-07-28,-0.4043793494415301
2015-07-31,2015-08-10,0.033266226437887625
2015-08-20,2015-08-27,-2.304253807603359
2015-09-01,2015-09-02,1.898070571450217
2015-09-03,2015-09-08,0.9613825405798271
2015-09-09,2015-09-15,1.8841261579017685
2015-09-18,2015-09-30,-1.9544760903202716
2015-10-14,2015-10-15,1.5354476132817285
2015-11-11,2015-11-16,-1.020492562352895
2015-11-17,2015-11-18,1.5866268016921408
2015-12-02,2015-12-04,0.5227047086473796
2015-12-09,2015-12-15,-0.15094358759934992
2015-12-17,2015-12-22,-0.07268192171947566
2015-12-31,2016-01-05,-1.2312177679164795
2016-01-07,2016-01-12,-0.20095231604258593
2016-01-13,2016-01-22,0.8949439255242717
2016-01-25,2016-01-26,1.3642793711766734
2016-01-27,2016-01-29,2.9713928454363603
2016-02-02,2016-02-12,-1.8563332699159576
2016-02-29,2016-03-01,2.350725634888456
2016-03-08,2016-03-11,2.197588961092412
2016-04-05,2016-04-06,1.092130059725917
2016-04-11,2016-04-13,1.950819284045972
2016-04-21,2016-04-26,-0.023953652783348173
2016-04-28,2016-05-02,0.25068142001048366
2016-05-11,2016-05-20,-0.48908564596658693
2016-05-23,2016-05-24,1.2962491539617433
2016-06-13,2016-06-20,0.2307042549146148
2016-06-22,2016-06-23,1.3022612180848891
2016-06-24,2016-06-28,-0.019642980997936446
2016-08-16,2016-08-18,0.41293730275944496
2016-09-09,2016-09-15,0.9377370587606317
2016-09-19,2016-09-21,1.1292744034347177
2016-09-26,2016-09-27,0.6208121249391683
2016-09-29,2016-10-18,-0.45181953417239834
2016-10-27,2016-11-07,-0.00937463283718687
2016-12-01,2016-12-05,0.6512889899477379
2016-12-14,2016-12-20,0.8209231685726378
2016-12-28,2017-01-03,0.3743614936056506
2017-03-02,2017-03-10,-0.24339157766875308
2017-03-17,2017-03-28,-0.7214421415043294
2017-03-31,2017-04-17,-0.4963039374729804
2017-04-19,2017-04-20,0.8139267370543549
2017-05-17,2017-05-19,1.0558787868504271
2017-06-20,2017-06-28,0.19756545161527264
2017-06-30,2017-07-07,0.12821418836380524
2017-08-08,2017-08-14,-0.29118086633764756
2017-08-17,2017-08-22,0.9667199274124998
2017-08-24,2017-08-30,0.8279021971878316
2017-10-23,2017-10-27,0.6247360245449499
2017-10-30,2017-11-01,0.28821916653767093
2017-11-17,2017-11-21,0.8260478005774979
2017-12-04,2017-12-07,-0.026538288051496148
2017-12-14,2017-12-15,0.8327589463807591
2017-12-20,2017-12-28,0.31454705512901693
2017-12-29,2018-01-02,0.7157334049942375
2018-01-16,2018-01-19,1.2420203177355111
2018-01-29,2018-02-12,-6.793588678925616
2018-02-21,2018-02-23,1.725619164982201
2018-02-28,2018-03-05,0.19877478162315032
2018-03-14,2018-03-26,-3.3157178894190413
2018-03-27,2018-03-29,0.9784878622343802
2018-04-06,2018-04-10,2.0907220769332246
2018-04-20,2018-04-26,-0.11253516203558594
2018-04-30,2018-05-04,0.570873492657893
2018-06-21,2018-07-05,-0.4120368706317758
2018-07-11,2018-07-12,0.9065606127515885
2018-07-30,2018-08-02,0.871542543003592
2018-08-13,2018-08-16,0.6947446232146036
2018-09-10,2018-09-11,0.32974381469315506
2018-09-17,2018-09-18,0.5426284191810705
2018-09-25,2018-10-01,0.33706671309388325
2018-10-10,2018-10-16,0.7546095048249377
2018-10-18,2018-10-31,-2.0875690818757953
2018-11-12,2018-11-16,0.4255790619371966
2018-11-19,2018-11-26,-0.594574547335637
2018-12-04,2018-12-26,-8.374627432837746
2018-12-28,2019-01-04,1.8728666158516403
2019-03-06,2019-03-11,0.40024672743472
2019-03-22,2019-03-26,0.6696449185990182
2019-05-01,2019-05-03,0.760787075572312
2019-05-08,2019-05-10,0.1982115069141639
2019-05-13,2019-05-16,2.4353889571572007
2019-05-17,2019-05-21,0.23438330288174405
2019-05-28,2019-06-04,0.13563998418778872
2019-06-25,2019-06-28,0.7703966835056127
2019-07-17,2019-07-23,0.7691055614538885
2019-08-01,2019-08-08,-0.41377655952737996
2019-08-12,2019-08-13,1.5551580213782161
2019-08-14,2019-08-16,1.7435870824372979
2019-08-20,2019-08-21,0.8135278826674119
2019-08-23,2019-08-29,2.7136885675681715
2019-09-20,2019-10-04,-1.3175432510056038
2019-10-07,2019-10-10,0.05462075760858663
2019-12-02,2019-12-04,-0.057787400494259
2019-12-30,2020-01-02,1.1804024160841398
2020-01-24,2020-01-28,-0.5718270417764226
2020-01-29,2020-02-04,0.7470362763015316
2020-02-21,2020-03-02,-7.313751269708953
2020-03-03,2020-03-10,-3.9368313265386234
2020-03-12,2020-03-13,8.548633904940646
2020-03-16,2020-03-24,1.9719627229545784
2020-04-01,2020-04-06,7.6010543702320685
2020-04-21,2020-04-22,2.219442144408894
2020-05-01,2020-05-05,1.2023190973385303
2020-05-06,2020-05-08,2.8812926193196615
2020-05-12,2020-05-15,-0.1360891909734602
2020-06-11,2020-06-16,4.108352696561285
2020-06-17,2020-06-23,0.5657191289882162
2020-06-24,2020-06-30,1.4041612451324401
2020-07-13,2020-07-15,2.22652207294184
2020-07-28,2020-07-29,1.2298653591841149
2020-08-11,2020-08-17,1.5354613689655578
2020-09-03,2020-09-14,-2.0064323990210524
2020-09-16,2020-09-22,-2.124368637853016
2020-09-23,2020-09-25,1.8875366892119216
2020-09-29,2020-09-30,0.758216517595929
2020-10-06,2020-10-08,2.6423372191490855
2020-10-14,2020-10-23,-0.6179246995131367
2020-10-27,2020-11-02,-2.371246257336285
2020-11-09,2020-11-11,0.5950969540961271
2020-11-18,2020-11-24,1.9479188887097296
2020-12-09,2020-12-16,0.9049996970084934
2020-12-23,2020-12-28,1.2514721762761851
2020-12-29,2020-12-31,0.6514834755476007
2021-01-27,2021-02-02,1.906988146376359
2021-02-19,2021-02-24,0.44612044645449456
2021-02-25,2021-03-01,1.8962470342132836
2021-03-02,2021-03-11,1.8083578676110725
2021-03-18,2021-03-22,0.612007699686719
2021-03-23,2021-03-26,1.6636860140780578
2021-04-22,2021-04-29,1.8895457489549887
2021-05-05,2021-05-06,0.7985679949481681
2021-05-10,2021-05-14,-0.3254008864099778
2021-05-18,2021-05-20,0.8107844447330301
2021-05-21,2021-05-24,1.019423242899764
2021-06-18,2021-06-21,1.4315794276895049
2021-07-16,2021-07-21,0.7441959279248264
2021-08-02,2021-08-03,0.8135436676528203
2021-08-18,2021-08-20,0.9517832509931592
2021-08-26,2021-08-27,0.89409108796475
2021-09-09,2021-09-23,-0.9755942234862067
2021-09-28,2021-10-07,1.1390027348941996
2021-10-08,2021-10-14,1.059710427768464
2021-10-27,2021-10-28,0.9649003847666405
2021-11-10,2021-11-12,0.7872637699853385
2021-11-22,2021-11-24,0.39993053162527165
2021-11-26,2021-11-29,1.2266574246026318
2021-11-30,2021-12-07,2.792182556748144
2021-12-16,2021-12-21,-0.3780047281727299
2022-01-05,2022-01-11,0.29250999331753014
2022-01-13,2022-01-28,-4.86083092190839
2022-02-03,2022-02-09,2.4496258625100227
2022-02-11,2022-02-15,1.2804705190720673
2022-02-17,2022-02-25,0.1578846457822297
2022-03-01,2022-03-02,1.8396302202968235
2022-03-03,2022-03-09,-1.9049561864261273
2022-03-11,2022-03-15,1.4521502251360876
2022-03-31,2022-04-04,1.1424897523898383
2022-04-05,2022-04-19,-1.3280776245165116
2022-04-21,2022-04-28,-2.3398529207856114
2022-04-29,2022-05-03,1.0630933456290843
2022-05-05,2022-05-13,-2.92163752675234
2022-05-18,2022-05-25,1.4061318388144528
2022-06-09,2022-06-15,-5.5400555806938705
2022-06-28,2022-07-01,0.15500574734788794
2022-07-11,2022-07-15,0.23424635428806748
2022-07-18,2022-07-19,2.7019171082821565
2022-07-26,2022-07-27,2.596637769563129
2022-08-19,2022-08-25,-0.6230244232613232
2022-08-26,2022-09-07,-1.8578122697855481
2022-09-13,2022-09-19,-0.7514435228134955
2022-09-21,2022-09-28,-1.8177327573849347
2022-09-30,2022-10-03,2.6401132495091986
2022-10-07,2022-10-13,0.8765184749620869
2022-10-14,2022-10-18,3.7748458190206433
2022-10-20,2022-10-21,2.4301376735369176
2022-11-02,2022-11-04,0.394810464830493
2022-11-09,2022-11-10,5.495415416552367
2022-11-28,2022-11-30,2.9728859461743915
2022-12-05,2022-12-08,-0.8383813375409068
2022-12-09,2022-12-12,1.4417389752375471
2022-12-13,2022-12-21,-3.474482189469816
2022-12-28,2022-12-29,1.8000205721411595
2023-01-05,2023-01-06,2.2932184774544484
2023-01-18,2023-01-20,1.1213591241751437
2023-01-30,2023-01-31,1.4703287327044297
2023-02-03,2023-02-07,0.6887162520793226
2023-02-08,2023-02-13,0.5308636695498009
2023-02-16,2023-02-27,-2.5840278513319066
2023-02-28,2023-03-02,0.39116335694710697
2023-03-07,2023-03-14,-1.6421037824826512
2023-03-17,2023-03-21,2.2872436430057888
2023-03-22,2023-03-27,1.117032496668421
2023-04-25,2023-04-27,1.558797888793603
2023-05-03,2023-05-05,1.1298558061044057
2023-05-09,2023-05-10,0.4672321744939774
2023-05-16,2023-05-17,1.2138884001905745
2023-05-23,2023-05-25,0.13522251633967133
2023-06-16,2023-06-27,-0.748645433840036
2023-07-07,2023-07-11,0.8915815063668113
2023-07-20,2023-07-24,0.44673274823158643
2023-07-27,2023-07-31,1.1713048434952296
2023-08-02,2023-08-14,-0.44876720698191197
2023-08-15,2023-08-21,-0.8015504423815045
2023-08-22,2023-08-23,1.1137706979250424
2023-08-24,2023-08-28,1.3435796228976673
2023-09-12,2023-09-14,0.9798432290056457
2023-09-15,2023-09-28,-3.349341015298263
2023-09-29,2023-10-06,0.48189407476141044
2023-10-13,2023-10-30,-3.6871300427888847
2023-11-29,2023-12-01,0.9876633997668691
2023-12-06,2023-12-08,1.196229218389607
2023-12-20,2023-12-22,1.1510655428540673
2024-01-03,2024-01-08,1.2393531630103942
2024-01-31,2024-02-01,1.3088091613110164
2024-02-16,2024-02-22,1.5995601836350004
2024-02-26,2024-02-29,0.413051837622684
2024-03-08,2024-03-12,0.9888330452970437
2024-03-25,2024-03-27,0.6541531596274275
2024-04-04,2024-04-11,0.9608885928957964
2024-04-12,2024-04-23,-1.0179163391141883
2024-04-30,2024-05-03,1.854648756978675
2024-05-23,2024-05-31,0.26806815818019214
2024-06-24,2024-06-26,0.5103859493616856
2024-06-28,2024-07-02,0.8801579921126214
2024-07-11,2024-07-16,1.5058854635091077
2024-07-17,2024-07-22,-0.41116038363611324
2024-07-23,2024-07-31,-0.5363035431547839
2024-08-01,2024-08-09,-1.845275863227102
2024-09-03,2024-09-10,-0.5959210594598576
2024-09-18,2024-09-19,1.7064465478002253
2024-10-07,2024-10-08,0.9457559870798031
2024-10-15,2024-11-05,-0.5312295195033128
2024-11-14,2024-11-19,-0.5140283762214825
2024-12-09,2024-12-11,0.45974129825465304
2024-12-12,2024-12-20,-1.8516986372156665
2024-12-31,2025-01-03,1.0015630588321807
2025-01-06,2025-01-14,-2.212105697789118
2025-01-16,2025-01-17,1.0039880559060415
2025-01-31,2025-02-04,-0.006642493280706069
2025-02-07,2025-02-13,1.4914156475343392
2025-02-21,2025-03-14,-6.188958153506497
2025-03-28,2025-04-01,0.9556199501907583
2025-04-03,2025-04-09,2.2209768285896994
2025-04-15,2025-04-22,-1.9270448157297029
